# Constructed from biom file
#OTU ID	BassGCP-20180527-01-nc.blast	BassGCP-20180527-02-nc.blast	BassGCP-20180717-01-nc.blast	BassGCP-20180717-02-nc.blast	CA-EDWD-20180527-01-nc.blast	CA-MANZA-20180527-01-nc.blast	CA-MANZA-20180527-02-nc.blast	CA-MANZA-20180715-01-PCR01-nc.blast	CA-MANZA-20180715-01-PCR02-nc.blast	CA-MANZA-20180715-01-PCR03-nc.blast	CA-MANZA-20180715-01-nc.blast	CA-MANZA-20180715-02-PCR01-nc.blast	CA-MANZA-20180715-02-PCR02-nc.blast	CA-MANZA-20180715-02-PCR03-nc.blast	CA-MANZA-20180715-02-nc.blast	CA-Pig-20180717-01-nc.blast	CA-Pig-20180717-02-nc.blast	Ca-Pig-20180527-01-nc.blast	Ca-Pig-20180527-02-nc.blast	CabinBOR-20180530-01-nc.blast	CabinBOR-20180530-02-nc.blast	CabinBOR-20180714-01-nc.blast	CabinBOR-20180714-02-nc.blast	EN-MES-072018-nc.blast	EN-MES-072518-nc.blast	EN-MJS-090718-nc.blast	EagleGCP-20180527-01-nc.blast	EagleGCP-20180527-02-nc.blast	EagleGCP-20180717-01-PCR01-nc.blast	EagleGCP-20180717-01-PCR02-nc.blast	EagleGCP-20180717-01-PCR03-nc.blast	EagleGCP-20180717-01-nc.blast	EagleGCP-20180717-02-PCR01-nc.blast	EagleGCP-20180717-02-PCR02-nc.blast	EagleGCP-20180717-02-PCR03-nc.blast	EagleGCP-20180717-02-nc.blast	GlorGCP-20180527-01-nc.blast	GlorGCP-20180527-02-nc.blast	GlorGCP-20180715-01-nc.blast	GlorGCP-20180715-02-nc.blast	GrampsBOR-20180601-01-nc.blast	GrampsBOR-20180601-02-nc.blast	GrampsBOR-20180714-01-PCR01-nc.blast	GrampsBOR-20180714-01-PCR02-nc.blast	GrampsBOR-20180714-01-PCR03-nc.blast	GrampsBOR-20180714-01-nc.blast	GrampsBOR-20180714-02-PCR01-nc.blast	GrampsBOR-20180714-02-PCR02-nc.blast	GrampsBOR-20180714-02-PCR03-nc.blast	GrampsBOR-20180714-02-nc.blast	HeronGCP-20180527-01-nc.blast	HeronGCP-20180527-02-nc.blast	HeronGCP-20180717-01-nc.blast	HeronGCP-20180717-02-nc.blast	KAMM-20180527-01-nc.blast	KAMM-20180527-02-nc.blast	KAMM-20180714-01-nc.blast	KAMM-20180714-02-nc.blast	NegCtrl-20180525-03-nc.blast	NegCtrl-20180527-01-nc.blast	NegCtrl-20180527-02-nc.blast	NegCtrl-20180601-01-nc.blast	NegCtrl-20180714-01-nc.blast	NegCtrl-20180715-01-nc.blast	NegCtrl-20180717-01-nc.blast	NorthGCP-20180527-01-nc.blast	NorthGCP-20180527-02-nc.blast	NorthGCP-20180715-01-nc.blast	NorthGCP-20180715-02-nc.blast	NtalkGCP-20180527-01-nc.blast	NtalkGCP-20180527-02-nc.blast	NtalkGCP-20180715-01-nc.blast	PPKBOR-20180601-01-nc.blast	PPKBOR-20180601-02-nc.blast	PPKBOR-20180714-01-nc.blast	PPKBOR-20180714-02-nc.blast	PPKBOR-20180714-03-nc.blast	Plate01-PCR-Negative-PCR01-nc.blast	Plate01-PCR-Negative-PCR02-nc.blast	Plate01-PCR-Negative-PCR03-nc.blast	Plate01-PCR-Positive-PCR01-nc.blast	Plate01-PCR-Positive-PCR02-nc.blast	Plate01-PCR-Positive-PCR03-nc.blast	Plate04-PCR-Negative-nc.blast	Plate04-PCR-Positive-nc.blast	Plate05-PCR-Positive-nc.blast	Plate06-PCR-Negative-nc.blast	Plate06-PCR-Positive-nc.blast	Plate07-PCR-Negative-nc.blast	Plate07-PCR-Positive-nc.blast	Plate08-PCR-Positive-nc.blast	RLSNKGCP-20180527-01-nc.blast	RLSNKGCP-20180527-02-nc.blast	RLSNKGCP-20180715-01-nc.blast	RLSNKGCP-20180715-02-nc.blast	RonJRGCP-20180527-01-nc.blast	RonJRGCP-20180527-02-nc.blast	RonJRGCP-20180716-01-PCR01-nc.blast	RonJRGCP-20180716-01-PCR02-nc.blast	RonJRGCP-20180716-01-PCR03-nc.blast	RonJRGCP-20180716-01-nc.blast	RonJRGCP-20180716-02-PCR01-nc.blast	RonJRGCP-20180716-02-PCR02-nc.blast	RonJRGCP-20180716-02-PCR03-nc.blast	RonJRGCP-20180716-02-nc.blast	ShptlGCP-20180527-01-nc.blast	ShptlGCP-20180527-02-nc.blast	ShptlGCP-20180527-03-nc.blast	ShptlGCP-20180715-01-PCR01-nc.blast	ShptlGCP-20180715-01-PCR02-nc.blast	ShptlGCP-20180715-01-PCR03-nc.blast	ShptlGCP-20180715-01-nc.blast	ShptlGCP-20180715-02-PCR01-nc.blast	ShptlGCP-20180715-02-PCR02-nc.blast	ShptlGCP-20180715-02-PCR03-nc.blast	ShptlGCP-20180715-02-nc.blast	UCTBOR-20180601-01-nc.blast	UCTBOR-20180601-02-nc.blast	UCTBOR-20180714-01-nc.blast	UCTBOR-20180714-02-nc.blast	WDMLGCP-20180527-01-nc.blast	WDMLGCP-20180527-02-nc.blast	WDMLGCP-20180714-01-nc.blast	WDMLGCP-20180714-02-nc.blast	WashGCP-20180525-01-nc.blast	WashGCP-20180525-02-nc.blast	WashGCP-20180714-01-nc.blast	WashGCP-20180714-02-nc.blast	YBBA-20180527-01-nc.blast	YBBA-20180527-02-nc.blast	YBBA-20180715-01-nc.blast	YBBA-20180715-02-nc.blast	taxomomy
s__Lepomis_gibbosus	14100.0	0.0	11580.0	16991.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Centrarchiformes', 'f__Centrarchidae', 'g__Lepomis', 's__Lepomis_gibbosus']
s__Micropterus_salmoides	28919.0	0.0	17703.0	25697.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Centrarchiformes', 'f__Centrarchidae', 'g__Micropterus', 's__Micropterus_salmoides']
s__Notemigonus_crysoleucas	9637.0	0.0	12138.0	14027.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Notemigonus', 's__Notemigonus_crysoleucas']
s__Gambusia_affinis	10632.0	0.0	3339.0	5065.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cyprinodontiformes', 'f__Poeciliidae', 'g__Gambusia', 's__Gambusia_affinis']
s__Anaxyrus_boreas	0.0	0.0	0.0	0.0	0.0	778.0	3683.0	48.0	131.0	465.0	1405.0	0.0	598.0	2128.0	2650.0	0.0	0.0	315.0	471.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1002.0	747.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6723.0	11326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	789.0	639.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12033.0	2454.0	686.0	5.0	24161.0	8834.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5298.0	1940.0	0.0	0.0	0.0	1292.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4250.0	3025.0	4892.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6010.0	5376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6495.0	30535.0	261.0	751.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Anura', 'f__Bufonidae', 'g__Anaxyrus', 's__Anaxyrus_boreas']
s__Pseudacris_regilla	0.0	0.0	0.0	0.0	0.0	57.0	334.0	34.0	9.0	4.0	13.0	39.0	52.0	27.0	51.0	0.0	10.0	1540.0	464.0	0.0	0.0	7.0	8.0	0.0	0.0	0.0	24.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	117.0	0.0	0.0	137.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.0	25.0	7.0	24.0	12.0	0.0	0.0	3794.0	3613.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	841.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	869.0	562.0	296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	498.0	574.0	104.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	322.0	1026.0	6.0	11.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Anura', 'f__Hylidae', 'g__Pseudacris', 's__Pseudacris_regilla']
s__Rana_catesbeiana	0.0	0.0	1945.0	10113.0	0.0	595.0	5867.0	10195.0	7529.0	6297.0	19033.0	3.0	21556.0	2884.0	8803.0	0.0	0.0	0.0	0.0	3401.0	1778.0	4886.0	5372.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5412.0	4759.0	10806.0	5197.0	6031.0	11753.0	47582.0	36743.0	33767.0	56391.0	0.0	0.0	0.0	0.0	2967.0	0.0	21958.0	15202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5329.0	9127.0	58938.0	74190.0	88667.0	96308.0	70420.0	71361.0	31681.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1625.0	0.0	4572.0	5666.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Anura', 'f__Ranidae', 'g__Rana_<genus>', 's__Rana_catesbeiana']
s__Rana_draytonii	0.0	0.0	0.0	0.0	0.0	1124.0	5616.0	16597.0	15915.0	14702.0	31997.0	19790.0	18222.0	4290.0	22295.0	0.0	0.0	0.0	0.0	2781.0	4990.0	41904.0	62944.0	0.0	0.0	0.0	2100.0	1703.0	14052.0	14601.0	7179.0	12479.0	12399.0	9825.0	8136.0	9093.0	0.0	480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	396.0	1385.0	7298.0	10376.0	0.0	0.0	1650.0	6327.0	9418.0	6757.0	9967.0	6327.0	6621.0	3953.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	37629.0	15269.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Anura', 'f__Ranidae', 'g__Rana_<genus>', 's__Rana_draytonii']
s__Ambystoma_californiense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	924.0	2432.0	0.0	3489.0	1533.0	5727.0	6002.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	378.0	0.0	0.0	0.0	2599.0	2643.0	694.0	6553.0	301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1168.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15968.0	7533.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Caudata', 'f__Ambystomatidae', 'g__Ambystoma', 's__Ambystoma_californiense']
s__Taricha_granulosa	0.0	0.0	0.0	0.0	0.0	24.0	4.0	4.0	0.0	6.0	38.0	13.0	8.0	4.0	0.0	54.0	12.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	11.0	8.0	0.0	6.0	0.0	7.0	6.0	8.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Caudata', 'f__Salamandridae', 'g__Taricha', 's__Taricha_granulosa']
