sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
BassGCP-20180527-01,180310,161316,154054,7262,153994,1,1080,3,271,80500
BassGCP-20180527-02,18,10,10,0,10,1,4,3,0,0
BassGCP-20180717-01,169678,149331,142058,7273,140750,1,1147,3,270,74015
BassGCP-20180717-02,174858,150462,142414,8048,142328,1,1024,3,279,74994
CA-EDWD-20180527-01,24984,20982,20202,780,20196,1,202,3,27,10277
CA-EDWD-20180527-02,0,0,0,0,0,1,0,0,0,0
CA-MANZA-20180527-01,571176,515841,493422,22419,488734,1,2393,3,721,256077
CA-MANZA-20180527-02,154394,138648,132350,6298,108050,1,1251,3,336,67202
CA-MANZA-20180715-01,219268,191563,182204,9359,114422,1,811,3,209,50966
CA-MANZA-20180715-01-PCR01,119726,105226,100120,5106,62748,1,658,3,166,42657
CA-MANZA-20180715-01-PCR02,102244,87177,82664,4513,48314,1,804,3,196,52244
CA-MANZA-20180715-01-PCR03,126190,107390,101866,5524,54894,1,995,3,361,92554
CA-MANZA-20180715-02,146520,119959,113336,6623,85000,1,906,3,226,56674
CA-MANZA-20180715-02-PCR01,138496,119559,114548,5011,82292,1,1148,3,300,74235
CA-MANZA-20180715-02-PCR02,172320,152483,145638,6845,99188,1,454,3,72,22403
CA-MANZA-20180715-02-PCR03,59340,46490,44350,2140,29818,1,861,3,205,57923
CA-Pig-20180717-01,174844,156213,149596,6617,4352,1,587,3,246,76157
CA-Pig-20180717-02,154052,133847,126874,6973,14914,1,735,3,267,65245
Ca-Pig-20180527-01,164792,143285,135550,7735,56938,1,877,3,313,69661
Ca-Pig-20180527-02,69262,56125,53282,2843,28372,1,542,3,110,27229
CabinBOR-20180530-01,26888,20288,19480,808,18648,1,223,3,29,9937
CabinBOR-20180530-02,31456,25694,24718,976,24644,1,279,3,36,12573
CabinBOR-20180714-01,164266,121782,114772,7010,113896,1,826,3,181,57849
CabinBOR-20180714-02,217972,188762,177984,10778,174850,1,927,3,263,90141
EN-MES-072018,13308,2229,2124,105,2124,1,39,3,7,1067
EN-MES-072518,8956,8,0,8,0,1,1,3,0,0
EN-MJS-090718,25646,3246,2994,252,2994,1,47,3,6,1490
EN-MJS-091418,8516,3,0,3,0,1,0,0,0,0
EagleGCP-20180527-01,217928,196468,188090,8378,180486,1,1444,3,438,95918
EagleGCP-20180527-02,205478,189079,182162,6917,173946,1,974,3,314,93021
EagleGCP-20180717-01,161810,139095,133166,5929,126618,1,936,3,230,65945
EagleGCP-20180717-01-PCR01,148050,134203,128810,5393,123266,1,946,3,274,71569
EagleGCP-20180717-01-PCR02,159090,143090,136726,6364,132148,1,843,3,190,49069
EagleGCP-20180717-01-PCR03,112428,100868,96572,4296,79606,1,1121,3,278,68158
EagleGCP-20180717-02,266076,233829,222064,11765,215718,1,1272,3,446,127204
EagleGCP-20180717-02-PCR01,288304,258377,247178,11199,235006,1,963,3,330,86970
EagleGCP-20180717-02-PCR02,197282,173666,165120,8546,155822,1,1230,3,390,100653
EagleGCP-20180717-02-PCR03,228280,204044,194746,9298,192164,1,1386,3,447,115436
GlorGCP-20180527-01,85110,48162,45822,2340,44354,1,446,3,79,22566
GlorGCP-20180527-02,152774,128596,122544,6052,117384,1,789,3,253,63407
GlorGCP-20180715-01,35402,27438,25792,1646,15546,1,412,3,63,13052
GlorGCP-20180715-02,14798,4319,4146,173,4136,1,44,3,10,2085
GrampsBOR-20180601-01,213186,185785,175688,10097,175608,1,903,3,266,90073
GrampsBOR-20180601-02,59994,51421,48362,3059,48350,1,441,3,79,24564
GrampsBOR-20180714-01,467410,418998,396790,22208,395006,1,832,3,304,133360
GrampsBOR-20180714-01-PCR01,293202,271561,263060,8501,262540,1,825,3,275,112908
GrampsBOR-20180714-01-PCR02,246388,226443,218902,7541,218562,1,695,3,259,112565
GrampsBOR-20180714-01-PCR03,248120,227715,220560,7155,220304,1,1250,3,386,184860
GrampsBOR-20180714-02,162066,140499,132694,7805,132644,1,464,3,186,56286
GrampsBOR-20180714-02-PCR01,129690,113069,107634,5435,107560,1,615,3,191,56129
GrampsBOR-20180714-02-PCR02,127904,110834,104648,6186,102748,1,465,3,167,41084
GrampsBOR-20180714-02-PCR03,95556,82504,78380,4124,73454,1,559,3,211,68514
HeronGCP-20180527-01,80506,66005,61958,4047,28488,1,749,3,154,31218
HeronGCP-20180527-02,38752,29481,27986,1495,23616,1,366,3,70,13842
HeronGCP-20180717-01,144934,124859,120476,4383,108918,1,576,3,214,61578
HeronGCP-20180717-02,95902,79749,76704,3045,64652,1,635,3,160,38720
KAMM-20180527-01,11668,6200,5970,230,5918,1,55,3,9,2974
KAMM-20180527-02,12822,9531,9256,275,9256,1,78,3,11,4678
KAMM-20180714-01,187904,166604,156812,9792,97976,1,953,3,348,78327
KAMM-20180714-02,163962,139908,132330,7578,54072,1,784,3,259,64582
NegCtrl-20180525-03,22106,12743,12100,643,12086,1,148,3,26,6273
NegCtrl-20180527-01,7680,15,4,11,2,1,2,3,0,0
NegCtrl-20180527-02,9138,35,26,9,26,1,8,3,1,7
NegCtrl-20180601-01,16310,1281,1150,131,1150,1,33,3,3,565
NegCtrl-20180714-01,53018,6057,5528,529,5528,1,106,3,8,2765
NegCtrl-20180715-01,7724,97,48,49,48,1,13,3,2,16
NegCtrl-20180717-01,12256,1194,1134,60,1134,1,19,3,3,577
NorthGCP-20180527-01,77800,69899,66980,2919,65698,1,595,3,110,33405
NorthGCP-20180527-02,37762,12632,12072,560,12052,1,136,3,13,6197
NorthGCP-20180715-01,116242,103546,98434,5112,98430,1,709,3,166,50186
NorthGCP-20180715-02,212106,190413,181028,9385,180246,1,770,3,315,92180
NtalkGCP-20180527-01,231974,208564,201368,7196,197594,1,1085,3,348,99691
NtalkGCP-20180527-02,136020,117857,113442,4415,112816,1,561,3,196,56766
NtalkGCP-20180715-01,419850,378860,361698,17162,361690,1,869,3,436,187250
PPKBOR-20180601-01,273918,247366,237702,9664,232270,1,697,3,276,123169
PPKBOR-20180601-02,247042,222735,214254,8481,208832,1,570,3,251,111801
PPKBOR-20180714-01,37648,26199,24622,1577,22424,1,234,3,38,8320
PPKBOR-20180714-02,74492,61259,57860,3399,44454,1,456,3,91,20862
PPKBOR-20180714-03,37788,29587,27956,1631,23328,1,304,3,62,6692
Plate01-PCR-Negative-PCR01,4914,7,4,3,4,1,1,3,0,0
Plate01-PCR-Negative-PCR02,3894,2,0,2,0,1,1,3,0,0
Plate01-PCR-Negative-PCR03,4344,2,2,0,2,1,1,3,0,0
Plate01-PCR-Positive-PCR01,3282,2478,2340,138,2336,1,30,3,4,961
Plate01-PCR-Positive-PCR02,3286,2513,2398,115,2398,1,25,3,6,1195
Plate01-PCR-Positive-PCR03,4730,3675,3494,181,3474,1,58,3,10,1748
Plate04-PCR-Negative,22438,58,0,58,0,1,2,3,0,0
Plate04-PCR-Positive,4108,3110,2920,190,2920,1,38,3,7,1520
Plate05-PCR-Negative,22698,38,2,36,0,1,0,0,0,0
Plate05-PCR-Positive,9290,7969,7592,377,7590,1,77,3,11,3826
Plate06-PCR-Negative,38562,286,4,282,2,1,9,3,0,0
Plate06-PCR-Positive,7900,6129,5764,365,5762,1,71,3,10,2893
Plate07-PCR-Negative,4220,17,2,15,2,1,10,3,1,4
Plate07-PCR-Positive,8902,2990,2826,164,2826,1,38,3,5,1443
Plate08-PCR-Negative,11598,0,0,0,0,1,0,0,0,0
Plate08-PCR-Positive,2160,1797,1728,69,1728,1,24,3,4,874
RLSNKGCP-20180527-01,105750,95062,91318,3744,86432,1,562,3,169,46396
RLSNKGCP-20180527-02,100240,88618,84980,3638,79600,1,583,3,151,41675
RLSNKGCP-20180715-01,114092,104379,100178,4201,100060,1,472,3,167,51003
RLSNKGCP-20180715-02,136246,122885,117220,5665,111006,1,752,3,199,59760
RonJRGCP-20180527-01,79554,63161,60742,2419,60704,1,517,3,84,31273
RonJRGCP-20180527-02,756530,703105,681746,21359,678564,1,1419,3,532,348774
RonJRGCP-20180716-01,221850,198350,189882,8468,189694,1,162,3,19,10844
RonJRGCP-20180716-01-PCR01,24410,22240,21380,860,21290,1,464,3,191,66532
RonJRGCP-20180716-01-PCR02,147312,132613,126924,5689,126386,1,574,3,220,85406
RonJRGCP-20180716-01-PCR03,190738,172509,165540,6969,164788,1,581,3,248,99093
RonJRGCP-20180716-02,83418,72565,68518,4047,68422,1,544,3,237,108721
RonJRGCP-20180716-02-PCR01,242504,220113,211620,8493,211404,1,492,3,211,78516
