"SITE_CODE","DATE","METHOD","Turbidity","Salinity","Area","Permanence","Visit","jDay"
"BASSGCP",2018-05-27,"MB_md",3.980000019,145,3118,1,1,147
"BASSGCP",2018-05-27,"qPCR",3.980000019,145,3118,1,2,147
"BASSGCP",2018-05-30,"Dip Net",3.980000019,145,3118,1,3,150
"BASSGCP",2018-05-30,"Seine",3.980000019,145,3118,1,4,150
"BASSGCP",2018-05-30,"VES",3.980000019,145,3118,1,5,150
"BASSGCP",2018-07-17,"MB_md",6.820000172,152,2721,1,6,198
"BASSGCP",2018-07-17,"qPCR",6.820000172,152,2721,1,7,198
"BASSGCP",2018-07-17,"Seine",6.820000172,152,2721,1,8,198
"BASSGCP",2018-07-17,"VES",6.820000172,152,2721,1,9,198
"CA-EDWD",2018-05-27,"MB_md",6.519999981,264,848,0,1,147
"CA-EDWD",2018-05-27,"qPCR",6.519999981,264,848,0,2,147
"CA-EDWD",2018-06-14,"Dip Net",6.519999981,264,848,0,3,165
"CA-EDWD",2018-06-14,"Seine",6.519999981,264,848,0,4,165
"CA-EDWD",2018-06-14,"VES",6.519999981,264,848,0,5,165
"CA-MANZA",2018-05-23,"Dip Net",12.5,52.09999847,2035,1,1,143
"CA-MANZA",2018-05-23,"Seine",12.5,52.09999847,2035,1,2,143
"CA-MANZA",2018-05-23,"VES",12.5,52.09999847,2035,1,3,143
"CA-MANZA",2018-05-27,"MB_md",12.5,52.09999847,2035,1,4,147
"CA-MANZA",2018-05-27,"qPCR",12.5,52.09999847,2035,1,5,147
"CA-MANZA",2018-06-30,"Seine",23,62.40000153,1081,1,6,181
"CA-MANZA",2018-06-30,"VES",23,62.40000153,1081,1,7,181
"CA-MANZA",2018-07-15,"MB_md",23,62.40000153,1081,1,8,196
"CA-MANZA",2018-07-15,"qPCR",23,62.40000153,1081,1,9,196
"CA-PIG",2018-05-27,"MB_md",4.059999943,73.09999847,2747,1,1,147
"CA-PIG",2018-05-27,"qPCR",4.059999943,73.09999847,2747,1,2,147
"CA-PIG",2018-05-30,"Dip Net",4.059999943,73.09999847,2747,1,3,150
"CA-PIG",2018-05-30,"Seine",4.059999943,73.09999847,2747,1,4,150
"CA-PIG",2018-05-30,"VES",4.059999943,73.09999847,2747,1,5,150
"CA-PIG",2018-07-17,"MB_md",1126,134,1219,1,6,198
"CA-PIG",2018-07-17,"qPCR",1126,134,1219,1,7,198
"CA-PIG",2018-07-17,"Seine",1126,134,1219,1,8,198
"CA-PIG",2018-07-17,"VES",1126,134,1219,1,9,198
"CABINBOR",2018-05-30,"Dip Net",2.410000086,52.59999847,1493,1,1,150
"CABINBOR",2018-05-30,"MB_md",2.410000086,52.59999847,1493,1,2,150
"CABINBOR",2018-05-30,"qPCR",2.410000086,52.59999847,1493,1,3,150
"CABINBOR",2018-05-30,"Seine",2.410000086,52.59999847,1493,1,4,150
"CABINBOR",2018-05-30,"VES",2.410000086,52.59999847,1493,1,5,150
"CABINBOR",2018-07-12,"Seine",1.549999952,61.09999847,1328,1,6,193
"CABINBOR",2018-07-12,"VES",1.549999952,61.09999847,1328,1,7,193
"CABINBOR",2018-07-14,"MB_md",1.549999952,61.09999847,1328,1,8,195
"CABINBOR",2018-07-14,"qPCR",1.549999952,61.09999847,1328,1,9,195
"EAGLEGCP",2018-05-27,"MB_md",6.579999924,136,6382,1,1,147
"EAGLEGCP",2018-05-27,"qPCR",6.579999924,136,6382,1,2,147
"EAGLEGCP",2018-05-30,"Dip Net",6.579999924,136,6382,1,3,150
"EAGLEGCP",2018-05-30,"Seine",6.579999924,136,6382,1,4,150
"EAGLEGCP",2018-05-30,"VES",6.579999924,136,6382,1,5,150
"EAGLEGCP",2018-07-17,"MB_md",14.5,169,5014,1,6,198
"EAGLEGCP",2018-07-17,"qPCR",14.5,169,5014,1,7,198
"EAGLEGCP",2018-07-17,"Seine",14.5,169,5014,1,8,198
"EAGLEGCP",2018-07-17,"VES",14.5,169,5014,1,9,198
