#OTU ID,BassGCP-20180527-01-nc.blast,BassGCP-20180527-02-nc.blast,BassGCP-20180717-01-nc.blast,BassGCP-20180717-02-nc.blast,CA-EDWD-20180527-01-nc.blast,CA-MANZA-20180527-01-nc.blast,CA-MANZA-20180527-02-nc.blast,CA-MANZA-20180715-01-PCR01-nc.blast,CA-MANZA-20180715-01-PCR02-nc.blast,CA-MANZA-20180715-01-PCR03-nc.blast,CA-MANZA-20180715-01-nc.blast,CA-MANZA-20180715-02-PCR01-nc.blast,CA-MANZA-20180715-02-PCR02-nc.blast,CA-MANZA-20180715-02-PCR03-nc.blast,CA-MANZA-20180715-02-nc.blast,CA-Pig-20180717-01-nc.blast,CA-Pig-20180717-02-nc.blast,Ca-Pig-20180527-01-nc.blast,Ca-Pig-20180527-02-nc.blast,CabinBOR-20180530-01-nc.blast,CabinBOR-20180530-02-nc.blast,CabinBOR-20180714-01-nc.blast,CabinBOR-20180714-02-nc.blast,EN-MES-072018-nc.blast,EN-MES-072518-nc.blast,EN-MJS-090718-nc.blast,EagleGCP-20180527-01-nc.blast,EagleGCP-20180527-02-nc.blast,EagleGCP-20180717-01-PCR01-nc.blast,EagleGCP-20180717-01-PCR02-nc.blast,EagleGCP-20180717-01-PCR03-nc.blast,EagleGCP-20180717-01-nc.blast,EagleGCP-20180717-02-PCR01-nc.blast,EagleGCP-20180717-02-PCR02-nc.blast,EagleGCP-20180717-02-PCR03-nc.blast,EagleGCP-20180717-02-nc.blast,GlorGCP-20180527-01-nc.blast,GlorGCP-20180527-02-nc.blast,GlorGCP-20180715-01-nc.blast,GlorGCP-20180715-02-nc.blast,GrampsBOR-20180601-01-nc.blast,GrampsBOR-20180601-02-nc.blast,GrampsBOR-20180714-01-PCR01-nc.blast,GrampsBOR-20180714-01-PCR02-nc.blast,GrampsBOR-20180714-01-PCR03-nc.blast,GrampsBOR-20180714-01-nc.blast,GrampsBOR-20180714-02-PCR01-nc.blast,GrampsBOR-20180714-02-PCR02-nc.blast,GrampsBOR-20180714-02-PCR03-nc.blast,GrampsBOR-20180714-02-nc.blast,HeronGCP-20180527-01-nc.blast,HeronGCP-20180527-02-nc.blast,HeronGCP-20180717-01-nc.blast,HeronGCP-20180717-02-nc.blast,KAMM-20180527-01-nc.blast,KAMM-20180527-02-nc.blast,KAMM-20180714-01-nc.blast,KAMM-20180714-02-nc.blast,NegCtrl-20180525-03-nc.blast,NegCtrl-20180527-01-nc.blast,NegCtrl-20180527-02-nc.blast,NegCtrl-20180601-01-nc.blast,NegCtrl-20180714-01-nc.blast,NegCtrl-20180715-01-nc.blast,NegCtrl-20180717-01-nc.blast,NorthGCP-20180527-01-nc.blast,NorthGCP-20180527-02-nc.blast,NorthGCP-20180715-01-nc.blast,NorthGCP-20180715-02-nc.blast,NtalkGCP-20180527-01-nc.blast,NtalkGCP-20180527-02-nc.blast,NtalkGCP-20180715-01-nc.blast,PPKBOR-20180601-01-nc.blast,PPKBOR-20180601-02-nc.blast,PPKBOR-20180714-01-nc.blast,PPKBOR-20180714-02-nc.blast,PPKBOR-20180714-03-nc.blast,Plate01-PCR-Negative-PCR01-nc.blast,Plate01-PCR-Negative-PCR02-nc.blast,Plate01-PCR-Negative-PCR03-nc.blast,Plate01-PCR-Positive-PCR01-nc.blast,Plate01-PCR-Positive-PCR02-nc.blast,Plate01-PCR-Positive-PCR03-nc.blast,Plate04-PCR-Negative-nc.blast,Plate04-PCR-Positive-nc.blast,Plate05-PCR-Positive-nc.blast,Plate06-PCR-Negative-nc.blast,Plate06-PCR-Positive-nc.blast,Plate07-PCR-Negative-nc.blast,Plate07-PCR-Positive-nc.blast,Plate08-PCR-Positive-nc.blast,RLSNKGCP-20180527-01-nc.blast,RLSNKGCP-20180527-02-nc.blast,RLSNKGCP-20180715-01-nc.blast,RLSNKGCP-20180715-02-nc.blast,RonJRGCP-20180527-01-nc.blast,RonJRGCP-20180527-02-nc.blast,RonJRGCP-20180716-01-PCR01-nc.blast,RonJRGCP-20180716-01-PCR02-nc.blast,RonJRGCP-20180716-01-PCR03-nc.blast,RonJRGCP-20180716-01-nc.blast,RonJRGCP-20180716-02-PCR01-nc.blast,RonJRGCP-20180716-02-PCR02-nc.blast,RonJRGCP-20180716-02-PCR03-nc.blast,RonJRGCP-20180716-02-nc.blast,ShptlGCP-20180527-01-nc.blast,ShptlGCP-20180527-02-nc.blast,ShptlGCP-20180527-03-nc.blast,ShptlGCP-20180715-01-PCR01-nc.blast,ShptlGCP-20180715-01-PCR02-nc.blast,ShptlGCP-20180715-01-PCR03-nc.blast,ShptlGCP-20180715-01-nc.blast,ShptlGCP-20180715-02-PCR01-nc.blast,ShptlGCP-20180715-02-PCR02-nc.blast,ShptlGCP-20180715-02-PCR03-nc.blast,ShptlGCP-20180715-02-nc.blast,UCTBOR-20180601-01-nc.blast,UCTBOR-20180601-02-nc.blast,UCTBOR-20180714-01-nc.blast,UCTBOR-20180714-02-nc.blast,WDMLGCP-20180527-01-nc.blast,WDMLGCP-20180527-02-nc.blast,WDMLGCP-20180714-01-nc.blast,WDMLGCP-20180714-02-nc.blast,WashGCP-20180525-01-nc.blast,WashGCP-20180525-02-nc.blast,WashGCP-20180714-01-nc.blast,WashGCP-20180714-02-nc.blast,YBBA-20180527-01-nc.blast,YBBA-20180527-02-nc.blast,YBBA-20180715-01-nc.blast,YBBA-20180715-02-nc.blast,taxomomy
s__Lepomis_gibbosus,14100,0,11580,16991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Centrarchiformes', 'f__Centrarchidae', 'g__Lepomis', 's__Lepomis_gibbosus']"
s__Micropterus_salmoides,28919,0,17703,25697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Centrarchiformes', 'f__Centrarchidae', 'g__Micropterus', 's__Micropterus_salmoides']"
s__Notemigonus_crysoleucas,9637,0,12138,14027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Notemigonus', 's__Notemigonus_crysoleucas']"
s__Gambusia_affinis,10632,0,3339,5065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cyprinodontiformes', 'f__Poeciliidae', 'g__Gambusia', 's__Gambusia_affinis']"
s__Anaxyrus_boreas,0,0,0,0,0,778,3683,48,131,465,1405,0,598,2128,2650,0,0,315,471,0,0,0,0,0,0,0,1002,747,0,0,0,0,0,0,0,0,6723,11326,0,0,0,0,0,0,0,0,0,0,0,0,789,639,0,0,0,0,0,0,0,0,0,0,0,0,0,12033,2454,686,5,24161,8834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5298,1940,0,0,0,1292,0,0,0,0,0,0,0,0,4250,3025,4892,0,0,0,0,0,0,0,0,6010,5376,0,0,0,0,0,0,0,0,0,0,6495,30535,261,751,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Anura', 'f__Bufonidae', 'g__Anaxyrus', 's__Anaxyrus_boreas']"
s__Pseudacris_regilla,0,0,0,0,0,57,334,34,9,4,13,39,52,27,51,0,10,1540,464,0,0,7,8,0,0,0,24,3,0,0,0,5,0,0,0,0,4,117,0,0,137,87,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,25,7,24,12,0,0,3794,3613,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,841,0,0,0,0,0,0,0,0,869,562,296,0,0,0,0,0,0,0,0,498,574,104,4,0,0,0,0,7,0,0,0,322,1026,6,11,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Anura', 'f__Hylidae', 'g__Pseudacris', 's__Pseudacris_regilla']"
s__Rana_catesbeiana,0,0,1945,10113,0,595,5867,10195,7529,6297,19033,3,21556,2884,8803,0,0,0,0,3401,1778,4886,5372,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,5412,4759,10806,5197,6031,11753,47582,36743,33767,56391,0,0,0,0,2967,0,21958,15202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5329,9127,58938,74190,88667,96308,70420,71361,31681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,0,4572,5666,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Anura', 'f__Ranidae', 'g__Rana_<genus>', 's__Rana_catesbeiana']"
s__Rana_draytonii,0,0,0,0,0,1124,5616,16597,15915,14702,31997,19790,18222,4290,22295,0,0,0,0,2781,4990,41904,62944,0,0,0,2100,1703,14052,14601,7179,12479,12399,9825,8136,9093,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,1385,7298,10376,0,0,1650,6327,9418,6757,9967,6327,6621,3953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,37629,15269,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Anura', 'f__Ranidae', 'g__Rana_<genus>', 's__Rana_draytonii']"
s__Ambystoma_californiense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,924,2432,0,3489,1533,5727,6002,0,0,0,0,0,0,0,0,0,0,0,144,0,0,378,0,0,0,2599,2643,694,6553,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15968,7533,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Caudata', 'f__Ambystomatidae', 'g__Ambystoma', 's__Ambystoma_californiense']"
s__Taricha_granulosa,0,0,0,0,0,24,4,4,0,6,38,13,8,4,0,54,12,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,6,4,11,8,0,6,0,7,6,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Amphibia', 'o__Caudata', 'f__Salamandridae', 'g__Taricha', 's__Taricha_granulosa']"
