Well,Content,Fluor,Target,Sample,Starting Quantity (SQ),Cq,Plate,Inhibited,Notes,Sample_Id,Field_Sample
C02,Unkn-07,JUN,RADR,C4z,0,,190603,,,C4,BassGCP_20180527_02
C03,Unkn-07,JUN,RADR,C4z,0,,190603,,,C4,BassGCP_20180527_02
C04,Unkn-07,JUN,RADR,C4z,0,,190603,,,C4,BassGCP_20180527_02
F02,Unkn-16,JUN,RADR,CA C9z,1.659708302,31.49609987,190603,,,CA C9,CA-MANZA_20180715_01
F03,Unkn-16,JUN,RADR,CA C9z,1.499163959,31.62692734,190603,,,CA C9,CA-MANZA_20180715_01
F04,Unkn-16,JUN,RADR,CA C9z,1.398735994,31.7160949,190603,,,CA C9,CA-MANZA_20180715_01
G02,Unkn-19,JUN,RADR,CA C10z,0.637465354,32.72664331,190603,,,CA C10,CA-MANZA_20180715_02
G03,Unkn-19,JUN,RADR,CA C10z,0.305187124,33.67385823,190603,,,CA C10,CA-MANZA_20180715_02
G04,Unkn-19,JUN,RADR,CA C10z,0.543804575,32.93099717,190603,,,CA C10,CA-MANZA_20180715_02
D05,Unkn-11,JUN,RADR,EG D6z,0.988955449,32.16190935,190603,,,EG D6,EagleGCP_20180717_02
E05,Unkn-14,JUN,RADR,EG D6z,0.798218361,32.43745092,190603,,,EG D6,EagleGCP_20180717_02
F05,Unkn-17,JUN,RADR,EG D6z,0.450893165,33.17193635,190603,,,EG D6,EagleGCP_20180717_02
B02,Unkn-04,JUN,RADR,B6z,0.03147768,36.59513286,190603,,accidentally_re_ran,B6,GlorGCP_20180527_02
B03,Unkn-04,JUN,RADR,B6z,0,,190603,,accidentally_re_ran,B6,GlorGCP_20180527_02
B04,Unkn-04,JUN,RADR,B6z,0.104605867,35.05078166,190603,,accidentally_re_ran,B6,GlorGCP_20180527_02
A02,Unkn-01,JUN,RADR,B2z,0.022787191,37.01060503,190603,,accidentally_reran,B2,RLSNKGCP_20180527_02
A03,Unkn-01,JUN,RADR,B2z,0,,190603,,accidentally_reran,B2,RLSNKGCP_20180527_02
A04,Unkn-01,JUN,RADR,B2z,0,,190603,,accidentally_reran,B2,RLSNKGCP_20180527_02
H02,Unkn-22,JUN,RADR,Ron D1z,0.911101763,32.26735226,190603,1,,Ron D1,RonJRGCP_20180716_01
H03,Unkn-22,JUN,RADR,Ron D1z,0.098339865,35.13021638,190603,1,,Ron D1,RonJRGCP_20180716_01
H04,Unkn-22,JUN,RADR,Ron D1z,0.068781729,35.58994039,190603,1,,Ron D1,RonJRGCP_20180716_01
A05,Unkn-02,JUN,RADR,Ron D2z,1.64E-06,49.27660749,190603,1,,Ron D2,RonJRGCP_20180716_02
B05,Unkn-05,JUN,RADR,Ron D2z,8.71E-06,47.13114347,190603,1,,Ron D2,RonJRGCP_20180716_02
C05,Unkn-08,JUN,RADR,Ron D2z,5.33E-06,47.76105936,190603,1,,Ron D2,RonJRGCP_20180716_02
D02,Unkn-10,JUN,RADR,Wash A8z,0,,190603,,,Wash A8,WashGCP_20180714_01
D03,Unkn-10,JUN,RADR,Wash A8z,0,,190603,,,Wash A8,WashGCP_20180714_01
D04,Unkn-10,JUN,RADR,Wash A8z,0,,190603,,,Wash A8,WashGCP_20180714_01
E02,Unkn-13,JUN,RADR,Wash A9z,0,,190603,,,Wash A9,WashGCP_20180714_02
E03,Unkn-13,JUN,RADR,Wash A9z,0,,190603,,,Wash A9,WashGCP_20180714_02
E04,Unkn-13,JUN,RADR,Wash A9z,0,,190603,,,Wash A9,WashGCP_20180714_02
H05,NTC,JUN,RADR,PCR NEG,0,,190603,,,PCR NEG,PCRNeg_2018XXXX_01
D02,Unkn-10,JUN,RADR,A1,0,,190523,,,A1,WashGCP_20180525_01
D03,Unkn-10,JUN,RADR,A1,0,,190523,,,A1,WashGCP_20180525_01
D04,Unkn-10,JUN,RADR,A1,0,,190523,,,A1,WashGCP_20180525_01
E05,Unkn-14,JUN,RADR,A10,0,,190523,,,A10,ShptlGCP_20180527_03
E06,Unkn-14,JUN,RADR,A10,0,,190523,,,A10,ShptlGCP_20180527_03
E07,Unkn-14,JUN,RADR,A10,0,,190523,,,A10,ShptlGCP_20180527_03
E02,Unkn-13,JUN,RADR,A2,0,,190523,,,A2,WashGCP_20180525_02
E03,Unkn-13,JUN,RADR,A2,0,,190523,,,A2,WashGCP_20180525_02
E04,Unkn-13,JUN,RADR,A2,0,,190523,,,A2,WashGCP_20180525_02
F02,Unkn-16,JUN,RADR,A3,0,,190523,,,A3,NegCtrl_20180525_03
F03,Unkn-16,JUN,RADR,A3,0,,190523,,,A3,NegCtrl_20180525_03
F04,Unkn-16,JUN,RADR,A3,0,,190523,,,A3,NegCtrl_20180525_03
G02,Unkn-19,JUN,RADR,A4,0,,190523,,,A4,HeronGCP_20180527_01
G03,Unkn-19,JUN,RADR,A4,0,,190523,,,A4,HeronGCP_20180527_01
G04,Unkn-19,JUN,RADR,A4,0,,190523,,,A4,HeronGCP_20180527_01
H02,Unkn-22,JUN,RADR,A5,0,,190523,,,A5,HeronGCP_20180527_02
H03,Unkn-22,JUN,RADR,A5,0,,190523,,,A5,HeronGCP_20180527_02
H04,Unkn-22,JUN,RADR,A5,0,,190523,,,A5,HeronGCP_20180527_02
A05,Unkn-02,JUN,RADR,A6,0,,190523,,,A6,CA-EDWD_20180527_01
A06,Unkn-02,JUN,RADR,A6,0,,190523,,,A6,CA-EDWD_20180527_01
A07,Unkn-02,JUN,RADR,A6,0,,190523,,,A6,CA-EDWD_20180527_01
B05,Unkn-05,JUN,RADR,A7,0,,190523,,,A7,CA-EDWD_20180527_02
B06,Unkn-05,JUN,RADR,A7,0,,190523,,,A7,CA-EDWD_20180527_02
B07,Unkn-05,JUN,RADR,A7,0,,190523,,,A7,CA-EDWD_20180527_02
C05,Unkn-08,JUN,RADR,A8,0,,190523,,,A8,ShptlGCP_20180527_01
C06,Unkn-08,JUN,RADR,A8,0,,190523,,,A8,ShptlGCP_20180527_01
C07,Unkn-08,JUN,RADR,A8,0,,190523,,,A8,ShptlGCP_20180527_01
D05,Unkn-11,JUN,RADR,A9,0,,190523,,,A9,ShptlGCP_20180527_02
D06,Unkn-11,JUN,RADR,A9,0,,190523,,,A9,ShptlGCP_20180527_02
D07,Unkn-11,JUN,RADR,A9,0,,190523,,,A9,ShptlGCP_20180527_02
F05,Unkn-17,JUN,RADR,B1,0,,190523,1,,B1,RLSNKGCP_20180527_01
